,Game Type,Match ID,Tier Average,user,Match Status,Match Duration,Champion Used,K/D/A,Kill Participation,Total CS,Control Wards Bought,User Level,D_spell,F_spell
0,ARAM,3670939403,None,LAFLAMME 01,Victory,32m 27s,Aphelios,15 / 20 / 34,P/Kill 73%,145 (4.5) CS,0,Level18,Flash,Heal
1,Ranked Solo,3670798215,Grandmaster,LAFLAMME 01,Victory,36m 9s,Rakan,5 / 4 / 22,P/Kill 82%,30 (0.8) CS,Control Ward 15,Level16,Flash,Ignite
2,Ranked Solo,3670843989,Grandmaster,LAFLAMME 01,Victory,15m 43s,Alistar,1 / 3 / 10,P/Kill 65%,19 (1.2) CS,Control Ward 5,Level8,Flash,Ignite
3,Ranked Solo,3670757500,Grandmaster,LAFLAMME 01,Victory,44m 2s,Alistar,1 / 7 / 27,P/Kill 74%,38 (0.9) CS,Control Ward 18,Level17,Flash,Ignite
4,Ranked Solo,3669897744,Grandmaster,LAFLAMME 01,Victory,23m 11s,Nautilus,3 / 2 / 13,P/Kill 50%,46 (2) CS,Control Ward 9,Level11,Flash,Ignite
5,Ranked Solo,3669892211,Grandmaster,LAFLAMME 01,Defeat,15m 24s,Rakan,2 / 2 / 1,P/Kill 50%,19 (1.2) CS,Control Ward 6,Level7,Flash,Ignite
6,Ranked Solo,3669835029,Grandmaster,LAFLAMME 01,Victory,22m 25s,Alistar,2 / 3 / 10,P/Kill 46%,29 (1.3) CS,Control Ward 8,Level11,Flash,Ignite
7,Ranked Solo,3669767879,Grandmaster,LAFLAMME 01,Defeat,26m 31s,Nami,1 / 6 / 7,P/Kill 67%,7 (0.3) CS,Control Ward 8,Level11,Flash,Exhaust
8,Ranked Solo,3669729617,Grandmaster,LAFLAMME 01,Victory,25m 28s,Nami,6 / 3 / 20,P/Kill 67%,16 (0.6) CS,Control Ward 4,Level13,Flash,Heal
9,Ranked Solo,3669674189,Grandmaster,LAFLAMME 01,Victory,15m 33s,Alistar,1 / 0 / 12,P/Kill 62%,19 (1.2) CS,Control Ward 6,Level9,Flash,Ignite
10,Ranked Solo,3669606172,Grandmaster,LAFLAMME 01,Defeat,17m 7s,Leona,0 / 5 / 1,P/Kill 13%,30 (1.8) CS,Control Ward 5,Level8,Flash,Ignite
11,Ranked Solo,3669611342,Grandmaster,LAFLAMME 01,Victory,24m 6s,Nami,4 / 5 / 27,P/Kill 89%,17 (0.7) CS,Control Ward 3,Level13,Flash,Exhaust
12,Ranked Solo,3669487713,Grandmaster,LAFLAMME 01,Defeat,20m 10s,Nami,1 / 5 / 6,P/Kill 58%,5 (0.2) CS,Control Ward 3,Level9,Flash,Ignite
13,Ranked Solo,3668454666,Grandmaster,LAFLAMME 01,Defeat,31m 36s,Alistar,2 / 11 / 17,P/Kill 59%,32 (1) CS,Control Ward 16,Level13,Flash,Ignite
14,Ranked Solo,3668364922,Grandmaster,LAFLAMME 01,Victory,25m 45s,Alistar,0 / 6 / 19,P/Kill 59%,32 (1.2) CS,Control Ward 13,Level12,Flash,Ignite
15,Ranked Solo,3668275266,Grandmaster,LAFLAMME 01,Victory,19m 27s,Alistar,4 / 1 / 14,P/Kill 72%,35 (1.8) CS,Control Ward 8,Level11,Flash,Ignite
16,Ranked Solo,3668207420,Grandmaster,LAFLAMME 01,Victory,28m 9s,Rakan,1 / 6 / 15,P/Kill 62%,42 (1.5) CS,Control Ward 13,Level13,Flash,Ignite
