,Player,Rank
0,Aulmeyda,Iron
1,pikathonk,Iron
2,HalloweenT0wn,Iron
3,Belek,Iron
4,LONGLIVEICE,Iron
5,Radiobr,Iron
6,Dopechella,Iron
7,YuYuHakasho,Iron
8,Vigorously,Iron
9,TheOddNigg,Iron
10,ILOVEBUTT999,Iron
11,Lisherex,Iron
12,DELL ivrezMoi,Iron
13,staraluna,Iron
14,Sianl,Iron
15,Jezebel of Seven,Iron
16,Sciezka,Iron
17,mxxny,Iron
18,Binding,Iron
19,Yunde,Iron
20,CharonQ,Iron
21,Cute Amazing ADC,Iron
22,Violet Butterfly,Iron
23,Gigantic Wáng,Iron
24,NoTitsJustCrits,Iron
25,Hiko Ryujin,Iron
26,Raizeyy,Iron
27,The Urgot God,Iron
28,TattooPotato,Iron
29,Pmb Ftw,Iron
30,Dewgy,Iron
31,QueenMedb,Iron
32,Ïris,Iron
33,TheRavenEyes,Iron
34,jwjohnson17,Iron
35,SPZapNinja,Iron
36,IcedOut69,Iron
37,HENTAI PRlNCESS,Iron
38,damn i h8 women,Iron
39,Flytes V,Iron
40,DrNocturne,Iron
41,Dightivia,Iron
42,DiGiTeCh,Iron
43,TheHags,Iron
44,AC3ofGAM3Z,Iron
45,exterminator939,Iron
46,tintagious,Iron
47,iiTaCHi,Iron
48,InSpiteofYou,Iron
49,high on weed rn,Iron
